id,resident_name,nric,phone_number,last_update_dt
rid_1,resident_name_1,F000001C,80000001,2021-04-01T16:59:09.406+08:00
rid_2,resident_name_2,F000002P,90000002,2021-04-01T16:59:09.409+08:00
rid_3,resident_name_3,S000003D,80000003,2021-04-01T16:59:09.412+08:00
rid_4,resident_name_4,S000004H,80000004,2021-04-01T16:59:09.414+08:00
rid_5,resident_name_5,S000005O,90000005,2021-04-01T16:59:09.416+08:00
rid_6,resident_name_6,F000006N,80000006,2021-04-01T16:59:09.418+08:00
rid_7,resident_name_7,S000007W,80000007,2021-04-01T16:59:09.421+08:00
rid_8,resident_name_8,S000008G,90000008,2021-04-01T16:59:09.423+08:00
rid_9,resident_name_9,S000009N,90000009,2021-04-01T16:59:09.426+08:00
rid_10,resident_name_10,F000010O,80000010,2021-04-01T16:59:09.428+08:00
rid_11,resident_name_11,F000011H,90000011,2021-04-01T16:59:09.430+08:00
rid_12,resident_name_12,F000012I,80000012,2021-04-01T16:59:09.432+08:00
rid_13,resident_name_13,F000013C,90000013,2021-04-01T16:59:09.435+08:00
rid_14,resident_name_14,F000014B,80000014,2021-04-01T16:59:09.437+08:00
rid_15,resident_name_15,S000015E,80000015,2021-04-01T16:59:09.439+08:00
rid_16,resident_name_16,S000016N,90000016,2021-04-01T16:59:09.441+08:00
rid_17,resident_name_17,F000017J,90000017,2021-04-01T16:59:09.443+08:00
rid_18,resident_name_18,F000018L,90000018,2021-04-01T16:59:09.446+08:00
rid_19,resident_name_19,F000019L,80000019,2021-04-01T16:59:09.448+08:00
rid_20,resident_name_20,F000020B,90000020,2021-04-01T16:59:09.450+08:00
rid_21,resident_name_21,S000021V,80000021,2021-04-01T16:59:09.453+08:00
rid_22,resident_name_22,S000022T,80000022,2021-04-01T16:59:09.456+08:00
rid_23,resident_name_23,S000023U,90000023,2021-04-01T16:59:09.459+08:00
rid_24,resident_name_24,S000024M,90000024,2021-04-01T16:59:09.462+08:00
rid_25,resident_name_25,F000025T,90000025,2021-04-01T16:59:09.464+08:00
rid_26,resident_name_26,S000026B,80000026,2021-04-01T16:59:09.466+08:00
rid_27,resident_name_27,S000027A,80000027,2021-04-01T16:59:09.469+08:00
rid_28,resident_name_28,F000028R,80000028,2021-04-01T16:59:09.471+08:00
rid_29,resident_name_29,S000029M,90000029,2021-04-01T16:59:09.474+08:00
rid_30,resident_name_30,S000030U,80000030,2021-04-01T16:59:09.478+08:00
rid_31,resident_name_31,S000031U,80000031,2021-04-01T16:59:09.481+08:00
rid_32,resident_name_32,S000032T,80000032,2021-04-01T16:59:09.484+08:00
rid_33,resident_name_33,S000033W,90000033,2021-04-01T16:59:09.487+08:00
rid_34,resident_name_34,F000034U,90000034,2021-04-01T16:59:09.489+08:00
rid_35,resident_name_35,F000035R,80000035,2021-04-01T16:59:09.491+08:00
rid_36,resident_name_36,F000036K,90000036,2021-04-01T16:59:09.494+08:00
rid_37,resident_name_37,F000037E,90000037,2021-04-01T16:59:09.496+08:00
rid_38,resident_name_38,F000038G,80000038,2021-04-01T16:59:09.499+08:00
rid_39,resident_name_39,S000039K,90000039,2021-04-01T16:59:09.501+08:00
rid_40,resident_name_40,S000040D,90000040,2021-04-01T16:59:09.503+08:00
rid_41,resident_name_41,F000041A,80000041,2021-04-01T16:59:09.505+08:00
rid_42,resident_name_42,F000042S,80000042,2021-04-01T16:59:09.508+08:00
rid_43,resident_name_43,F000043R,90000043,2021-04-01T16:59:09.510+08:00
rid_44,resident_name_44,S000044H,80000044,2021-04-01T16:59:09.512+08:00
rid_45,resident_name_45,S000045P,80000045,2021-04-01T16:59:09.515+08:00
rid_46,resident_name_46,S000046I,80000046,2021-04-01T16:59:09.517+08:00
rid_47,resident_name_47,F000047M,80000047,2021-04-01T16:59:09.519+08:00
rid_48,resident_name_48,S000048P,80000048,2021-04-01T16:59:09.521+08:00
rid_49,resident_name_49,F000049R,80000049,2021-04-01T16:59:09.523+08:00
rid_50,resident_name_50,S000050K,80000050,2021-04-01T16:59:09.526+08:00
rid_51,resident_name_51,S000051C,90000051,2021-04-01T16:59:09.528+08:00
rid_52,resident_name_52,F000052O,80000052,2021-04-01T16:59:09.530+08:00
rid_53,resident_name_53,S000053R,80000053,2021-04-01T16:59:09.532+08:00
rid_54,resident_name_54,F000054B,90000054,2021-04-01T16:59:09.534+08:00
rid_55,resident_name_55,F000055G,90000055,2021-04-01T16:59:09.537+08:00
rid_56,resident_name_56,F000056O,80000056,2021-04-01T16:59:09.539+08:00
rid_57,resident_name_57,F000057L,80000057,2021-04-01T16:59:09.541+08:00
rid_58,resident_name_58,F000058K,90000058,2021-04-01T16:59:09.544+08:00
rid_59,resident_name_59,S000059Z,90000059,2021-04-01T16:59:09.546+08:00
rid_60,resident_name_60,S000060B,90000060,2021-04-01T16:59:09.548+08:00
rid_61,resident_name_61,S000061I,80000061,2021-04-01T16:59:09.550+08:00
rid_62,resident_name_62,F000062S,80000062,2021-04-01T16:59:09.552+08:00
rid_63,resident_name_63,F000063P,90000063,2021-04-01T16:59:09.554+08:00
rid_64,resident_name_64,S000064C,80000064,2021-04-01T16:59:09.557+08:00
rid_65,resident_name_65,S000065W,80000065,2021-04-01T16:59:09.559+08:00
rid_66,resident_name_66,S000066D,80000066,2021-04-01T16:59:09.561+08:00
rid_67,resident_name_67,S000067H,90000067,2021-04-01T16:59:09.563+08:00
rid_68,resident_name_68,F000068N,80000068,2021-04-01T16:59:09.565+08:00
rid_69,resident_name_69,F000069V,90000069,2021-04-01T16:59:09.567+08:00
rid_70,resident_name_70,S000070P,80000070,2021-04-01T16:59:09.569+08:00
rid_71,resident_name_71,F000071K,90000071,2021-04-01T16:59:09.571+08:00
rid_72,resident_name_72,S000072X,80000072,2021-04-01T16:59:09.574+08:00
rid_73,resident_name_73,S000073O,80000073,2021-04-01T16:59:09.576+08:00
rid_74,resident_name_74,F000074W,90000074,2021-04-01T16:59:09.579+08:00
rid_75,resident_name_75,F000075J,80000075,2021-04-01T16:59:09.581+08:00
rid_76,resident_name_76,F000076W,80000076,2021-04-01T16:59:09.583+08:00
rid_77,resident_name_77,S000077V,80000077,2021-04-01T16:59:09.585+08:00
rid_78,resident_name_78,S000078W,90000078,2021-04-01T16:59:09.587+08:00
rid_79,resident_name_79,S000079D,80000079,2021-04-01T16:59:09.590+08:00
rid_80,resident_name_80,F000080N,80000080,2021-04-01T16:59:09.593+08:00
rid_81,resident_name_81,S000081L,90000081,2021-04-01T16:59:09.595+08:00
rid_82,resident_name_82,F000082A,90000082,2021-04-01T16:59:09.597+08:00
rid_83,resident_name_83,F000083C,80000083,2021-04-01T16:59:09.599+08:00
rid_84,resident_name_84,S000084R,80000084,2021-04-01T16:59:09.601+08:00
rid_85,resident_name_85,S000085K,90000085,2021-04-01T16:59:09.603+08:00
rid_86,resident_name_86,S000086F,80000086,2021-04-01T16:59:09.606+08:00
rid_87,resident_name_87,S000087J,80000087,2021-04-01T16:59:09.608+08:00
rid_88,resident_name_88,F000088Z,80000088,2021-04-01T16:59:09.610+08:00
rid_89,resident_name_89,S000089G,80000089,2021-04-01T16:59:09.612+08:00
rid_90,resident_name_90,F000090Z,80000090,2021-04-01T16:59:09.614+08:00
rid_91,resident_name_91,S000091K,90000091,2021-04-01T16:59:09.616+08:00
rid_92,resident_name_92,S000092M,90000092,2021-04-01T16:59:09.619+08:00
rid_93,resident_name_93,F000093Y,80000093,2021-04-01T16:59:09.622+08:00
rid_94,resident_name_94,S000094T,90000094,2021-04-01T16:59:09.624+08:00
rid_95,resident_name_95,F000095D,80000095,2021-04-01T16:59:09.626+08:00
rid_96,resident_name_96,F000096P,80000096,2021-04-01T16:59:09.628+08:00
rid_97,resident_name_97,F000097Q,90000097,2021-04-01T16:59:09.631+08:00
rid_98,resident_name_98,F000098M,90000098,2021-04-01T16:59:09.642+08:00
rid_99,resident_name_99,S000099B,80000099,2021-04-01T16:59:09.644+08:00
rid_100,resident_name_100,S000100P,80000100,2021-04-01T16:59:09.646+08:00
rid_101,resident_name_101,S000101N,80000101,2021-04-01T16:59:09.648+08:00
rid_102,resident_name_102,S000102U,90000102,2021-04-01T16:59:09.651+08:00
rid_103,resident_name_103,S000103X,80000103,2021-04-01T16:59:09.653+08:00
rid_104,resident_name_104,S000104C,90000104,2021-04-01T16:59:09.656+08:00
rid_105,resident_name_105,S000105H,90000105,2021-04-01T16:59:09.658+08:00
rid_106,resident_name_106,S000106Q,80000106,2021-04-01T16:59:09.660+08:00
rid_107,resident_name_107,S000107W,90000107,2021-04-01T16:59:09.662+08:00
rid_108,resident_name_108,S000108B,90000108,2021-04-01T16:59:09.664+08:00
rid_109,resident_name_109,F000109A,90000109,2021-04-01T16:59:09.667+08:00
rid_110,resident_name_110,S000110D,80000110,2021-04-01T16:59:09.669+08:00
rid_111,resident_name_111,S000111Q,80000111,2021-04-01T16:59:09.671+08:00
rid_112,resident_name_112,F000112R,90000112,2021-04-01T16:59:09.673+08:00
rid_113,resident_name_113,S000113I,90000113,2021-04-01T16:59:09.676+08:00
rid_114,resident_name_114,S000114C,90000114,2021-04-01T16:59:09.679+08:00
rid_115,resident_name_115,S000115L,80000115,2021-04-01T16:59:09.681+08:00
rid_116,resident_name_116,S000116O,90000116,2021-04-01T16:59:09.684+08:00
rid_117,resident_name_117,F000117O,90000117,2021-04-01T16:59:09.686+08:00
rid_118,resident_name_118,S000118K,80000118,2021-04-01T16:59:09.688+08:00
rid_119,resident_name_119,F000119V,90000119,2021-04-01T16:59:09.690+08:00
rid_120,resident_name_120,F000120K,90000120,2021-04-01T16:59:09.692+08:00
rid_121,resident_name_121,S000121A,80000121,2021-04-01T16:59:09.695+08:00
rid_122,resident_name_122,S000122I,90000122,2021-04-01T16:59:09.699+08:00
rid_123,resident_name_123,S000123Y,80000123,2021-04-01T16:59:09.701+08:00
rid_124,resident_name_124,F000124L,80000124,2021-04-01T16:59:09.704+08:00
rid_125,resident_name_125,S000125D,80000125,2021-04-01T16:59:09.706+08:00
rid_126,resident_name_126,F000126X,90000126,2021-04-01T16:59:09.708+08:00
rid_127,resident_name_127,S000127J,90000127,2021-04-01T16:59:09.711+08:00
rid_128,resident_name_128,F000128I,90000128,2021-04-01T16:59:09.713+08:00
rid_129,resident_name_129,F000129X,90000129,2021-04-01T16:59:09.715+08:00
rid_130,resident_name_130,S000130A,80000130,2021-04-01T16:59:09.717+08:00
rid_131,resident_name_131,S000131N,90000131,2021-04-01T16:59:09.720+08:00
rid_132,resident_name_132,F000132U,80000132,2021-04-01T16:59:09.722+08:00
rid_133,resident_name_133,F000133B,80000133,2021-04-01T16:59:09.724+08:00
rid_134,resident_name_134,S000134D,90000134,2021-04-01T16:59:09.726+08:00
rid_135,resident_name_135,F000135A,80000135,2021-04-01T16:59:09.729+08:00
rid_136,resident_name_136,S000136N,80000136,2021-04-01T16:59:09.731+08:00
rid_137,resident_name_137,S000137G,80000137,2021-04-01T16:59:09.733+08:00
rid_138,resident_name_138,S000138Q,80000138,2021-04-01T16:59:09.735+08:00
rid_139,resident_name_139,S000139E,80000139,2021-04-01T16:59:09.737+08:00
rid_140,resident_name_140,F000140R,90000140,2021-04-01T16:59:09.740+08:00
rid_141,resident_name_141,F000141O,90000141,2021-04-01T16:59:09.742+08:00
rid_142,resident_name_142,S000142X,80000142,2021-04-01T16:59:09.744+08:00
rid_143,resident_name_143,S000143H,90000143,2021-04-01T16:59:09.746+08:00
rid_144,resident_name_144,S000144V,90000144,2021-04-01T16:59:09.748+08:00
rid_145,resident_name_145,F000145B,80000145,2021-04-01T16:59:09.750+08:00
rid_146,resident_name_146,S000146C,90000146,2021-04-01T16:59:09.752+08:00
rid_147,resident_name_147,S000147P,90000147,2021-04-01T16:59:09.754+08:00
rid_148,resident_name_148,S000148U,90000148,2021-04-01T16:59:09.757+08:00
rid_149,resident_name_149,F000149T,90000149,2021-04-01T16:59:09.759+08:00
