resident_id,resident_name,nric,phone_number,last_update_dt
rid_1,resident_name_1,S000001U,80000001,2021-04-13 23:22:24.768735
rid_2,resident_name_2,S000002J,80000002,2021-04-13 23:22:24.771563
rid_3,resident_name_3,F000003Q,80000003,2021-04-13 23:22:24.774189
rid_4,resident_name_4,F000004E,80000004,2021-04-13 23:22:24.776634
rid_5,resident_name_5,S000005I,90000005,2021-04-13 23:22:24.779679
rid_6,resident_name_6,F000006D,80000006,2021-04-13 23:22:24.783093
rid_7,resident_name_7,F000007E,90000007,2021-04-13 23:22:24.785624
rid_8,resident_name_8,S000008H,90000008,2021-04-13 23:22:24.788098
rid_9,resident_name_9,S000009G,80000009,2021-04-13 23:22:24.790917
rid_10,resident_name_10,F000010H,90000010,2021-04-13 23:22:24.793318
rid_11,resident_name_11,S000011M,90000011,2021-04-13 23:22:24.795588
rid_12,resident_name_12,F000012O,80000012,2021-04-13 23:22:24.798046
rid_13,resident_name_13,S000013A,80000013,2021-04-13 23:22:24.800561
rid_14,resident_name_14,S000014S,90000014,2021-04-13 23:22:24.802851
rid_15,resident_name_15,F000015T,90000015,2021-04-13 23:22:24.805283
rid_16,resident_name_16,S000016H,80000016,2021-04-13 23:22:24.807769
rid_17,resident_name_17,F000017L,80000017,2021-04-13 23:22:24.810073
rid_18,resident_name_18,S000018L,90000018,2021-04-13 23:22:24.812780
rid_19,resident_name_19,F000019Q,90000019,2021-04-13 23:22:24.815486
rid_20,resident_name_20,F000020N,80000020,2021-04-13 23:22:24.818200
rid_21,resident_name_21,S000021Z,90000021,2021-04-13 23:22:24.820673
rid_22,resident_name_22,S000022Z,90000022,2021-04-13 23:22:24.823366
rid_23,resident_name_23,F000023U,90000023,2021-04-13 23:22:24.825930
rid_24,resident_name_24,F000024G,90000024,2021-04-13 23:22:24.829102
rid_25,resident_name_25,F000025W,80000025,2021-04-13 23:22:24.831725
rid_26,resident_name_26,F000026E,90000026,2021-04-13 23:22:24.834434
rid_27,resident_name_27,F000027T,90000027,2021-04-13 23:22:24.837370
rid_28,resident_name_28,S000028Y,80000028,2021-04-13 23:22:24.840140
rid_29,resident_name_29,F000029J,80000029,2021-04-13 23:22:24.842554
rid_30,resident_name_30,F000030M,90000030,2021-04-13 23:22:24.845503
rid_31,resident_name_31,F000031I,90000031,2021-04-13 23:22:24.847728
rid_32,resident_name_32,S000032F,80000032,2021-04-13 23:22:24.850087
rid_33,resident_name_33,F000033K,90000033,2021-04-13 23:22:24.852698
rid_34,resident_name_34,S000034N,90000034,2021-04-13 23:22:24.854954
rid_35,resident_name_35,F000035B,80000035,2021-04-13 23:22:24.857143
