resident_id,resident_name,nric,phone_number,last_update_dt
rid_1,resident_name_1,F000001S,90000001,2021-04-01 13:08:51.807705
rid_2,resident_name_2,S000002C,80000002,2021-04-01 13:08:51.811675
rid_3,resident_name_3,F000003D,90000003,2021-04-01 13:08:51.814255
rid_4,resident_name_4,S000004S,90000004,2021-04-01 13:08:51.816472
rid_5,resident_name_5,F000005J,90000005,2021-04-01 13:08:51.819007
rid_6,resident_name_6,F000006N,80000006,2021-04-01 13:08:51.821876
rid_7,resident_name_7,F000007E,80000007,2021-04-01 13:08:51.824540
rid_8,resident_name_8,F000008S,90000008,2021-04-01 13:08:51.827172
rid_9,resident_name_9,S000009U,90000009,2021-04-01 13:08:51.829727
rid_10,resident_name_10,F000010V,90000010,2021-04-01 13:08:51.832003
rid_11,resident_name_11,F000011P,80000011,2021-04-01 13:08:51.834242
rid_12,resident_name_12,F000012R,90000012,2021-04-01 13:08:51.836595
rid_13,resident_name_13,F000013F,90000013,2021-04-01 13:08:51.838869
rid_14,resident_name_14,F000014I,80000014,2021-04-01 13:08:51.841095
rid_15,resident_name_15,F000015Z,80000015,2021-04-01 13:08:51.844472
rid_16,resident_name_16,F000016Z,90000016,2021-04-01 13:08:51.847495
rid_17,resident_name_17,F000017T,90000017,2021-04-01 13:08:51.849727
rid_18,resident_name_18,F000018D,90000018,2021-04-01 13:08:51.851912
rid_19,resident_name_19,S000019Y,90000019,2021-04-01 13:08:51.854559
rid_20,resident_name_20,S000020P,90000020,2021-04-01 13:08:51.857478
rid_21,resident_name_21,S000021V,90000021,2021-04-01 13:08:51.860171
rid_22,resident_name_22,F000022J,80000022,2021-04-01 13:08:51.862995
rid_23,resident_name_23,F000023P,80000023,2021-04-01 13:08:51.865748
rid_24,resident_name_24,F000024B,80000024,2021-04-01 13:08:51.868076
rid_25,resident_name_25,S000025F,80000025,2021-04-01 13:08:51.870672
rid_26,resident_name_26,F000026H,80000026,2021-04-01 13:08:51.873162
rid_27,resident_name_27,S000027G,80000027,2021-04-01 13:08:51.875743
rid_28,resident_name_28,S000028J,90000028,2021-04-01 13:08:51.878056
rid_29,resident_name_29,S000029C,90000029,2021-04-01 13:08:51.880706
rid_30,resident_name_30,F000030Y,90000030,2021-04-01 13:08:51.882999
rid_31,resident_name_31,F000031T,80000031,2021-04-01 13:08:51.885239
rid_32,resident_name_32,F000032D,90000032,2021-04-01 13:08:51.887707
rid_33,resident_name_33,F000033I,80000033,2021-04-01 13:08:51.890014
rid_34,resident_name_34,S000034Z,90000034,2021-04-01 13:08:51.892656
rid_35,resident_name_35,F000035C,80000035,2021-04-01 13:08:51.895188
rid_36,resident_name_36,S000036B,90000036,2021-04-01 13:08:51.897614
rid_37,resident_name_37,S000037B,90000037,2021-04-01 13:08:51.899885
rid_38,resident_name_38,F000038O,80000038,2021-04-01 13:08:51.902056
rid_39,resident_name_39,S000039B,80000039,2021-04-01 13:08:51.904802
rid_40,resident_name_40,F000040S,80000040,2021-04-01 13:08:51.907820
rid_41,resident_name_41,F000041N,90000041,2021-04-01 13:08:51.910397
rid_42,resident_name_42,S000042S,90000042,2021-04-01 13:08:51.913353
rid_43,resident_name_43,S000043L,90000043,2021-04-01 13:08:51.915818
rid_44,resident_name_44,F000044J,90000044,2021-04-01 13:08:51.918089
rid_45,resident_name_45,S000045S,80000045,2021-04-01 13:08:51.921290
rid_46,resident_name_46,F000046R,80000046,2021-04-01 13:08:51.924066
rid_47,resident_name_47,S000047U,90000047,2021-04-01 13:08:51.926812
rid_48,resident_name_48,S000048Q,80000048,2021-04-01 13:08:51.929136
rid_49,resident_name_49,F000049C,80000049,2021-04-01 13:08:51.931384
rid_50,resident_name_50,S000050U,90000050,2021-04-01 13:08:51.933689
rid_51,resident_name_51,S000051G,90000051,2021-04-01 13:08:51.936114
rid_52,resident_name_52,F000052D,80000052,2021-04-01 13:08:51.938522
rid_53,resident_name_53,S000053M,80000053,2021-04-01 13:08:51.941168
rid_54,resident_name_54,F000054E,80000054,2021-04-01 13:08:51.943648
rid_55,resident_name_55,S000055R,90000055,2021-04-01 13:08:51.946902
rid_56,resident_name_56,S000056L,80000056,2021-04-01 13:08:51.949276
rid_57,resident_name_57,F000057L,90000057,2021-04-01 13:08:51.951634
rid_58,resident_name_58,F000058E,80000058,2021-04-01 13:08:51.954375
rid_59,resident_name_59,F000059D,90000059,2021-04-01 13:08:51.957631
rid_60,resident_name_60,F000060X,90000060,2021-04-01 13:08:51.959953
rid_61,resident_name_61,F000061I,90000061,2021-04-01 13:08:51.962184
rid_62,resident_name_62,S000062Y,90000062,2021-04-01 13:08:51.964408
rid_63,resident_name_63,S000063X,80000063,2021-04-01 13:08:51.967014
rid_64,resident_name_64,S000064U,90000064,2021-04-01 13:08:51.969669
rid_65,resident_name_65,F000065Q,80000065,2021-04-01 13:08:51.972239
rid_66,resident_name_66,F000066O,80000066,2021-04-01 13:08:51.974978
rid_67,resident_name_67,F000067T,90000067,2021-04-01 13:08:51.977276
