resident_id,resident_name,nric,phone_number,last_update_dt
rid_1,resident_name_1,F000001C,80000001,2021-04-01 16:59:09.406871
rid_2,resident_name_2,F000002P,90000002,2021-04-01 16:59:09.409981
rid_3,resident_name_3,S000003D,80000003,2021-04-01 16:59:09.412573
rid_4,resident_name_4,S000004H,80000004,2021-04-01 16:59:09.414725
rid_5,resident_name_5,S000005O,90000005,2021-04-01 16:59:09.416860
rid_6,resident_name_6,F000006N,80000006,2021-04-01 16:59:09.418993
rid_7,resident_name_7,S000007W,80000007,2021-04-01 16:59:09.421246
rid_8,resident_name_8,S000008G,90000008,2021-04-01 16:59:09.423898
rid_9,resident_name_9,S000009N,90000009,2021-04-01 16:59:09.426265
rid_10,resident_name_10,F000010O,80000010,2021-04-01 16:59:09.428493
rid_11,resident_name_11,F000011H,90000011,2021-04-01 16:59:09.430633
rid_12,resident_name_12,F000012I,80000012,2021-04-01 16:59:09.432856
rid_13,resident_name_13,F000013C,90000013,2021-04-01 16:59:09.435157
rid_14,resident_name_14,F000014B,80000014,2021-04-01 16:59:09.437317
rid_15,resident_name_15,S000015E,80000015,2021-04-01 16:59:09.439508
rid_16,resident_name_16,S000016N,90000016,2021-04-01 16:59:09.441605
rid_17,resident_name_17,F000017J,90000017,2021-04-01 16:59:09.443834
rid_18,resident_name_18,F000018L,90000018,2021-04-01 16:59:09.446114
rid_19,resident_name_19,F000019L,80000019,2021-04-01 16:59:09.448234
rid_20,resident_name_20,F000020B,90000020,2021-04-01 16:59:09.450832
rid_21,resident_name_21,S000021V,80000021,2021-04-01 16:59:09.453653
rid_22,resident_name_22,S000022T,80000022,2021-04-01 16:59:09.456338
rid_23,resident_name_23,S000023U,90000023,2021-04-01 16:59:09.459559
rid_24,resident_name_24,S000024M,90000024,2021-04-01 16:59:09.462160
rid_25,resident_name_25,F000025T,90000025,2021-04-01 16:59:09.464467
rid_26,resident_name_26,S000026B,80000026,2021-04-01 16:59:09.466809
rid_27,resident_name_27,S000027A,80000027,2021-04-01 16:59:09.469176
rid_28,resident_name_28,F000028R,80000028,2021-04-01 16:59:09.471642
rid_29,resident_name_29,S000029M,90000029,2021-04-01 16:59:09.474374
rid_30,resident_name_30,S000030U,80000030,2021-04-01 16:59:09.478014
rid_31,resident_name_31,S000031U,80000031,2021-04-01 16:59:09.481430
rid_32,resident_name_32,S000032T,80000032,2021-04-01 16:59:09.484252
rid_33,resident_name_33,S000033W,90000033,2021-04-01 16:59:09.487275
rid_34,resident_name_34,F000034U,90000034,2021-04-01 16:59:09.489580
rid_35,resident_name_35,F000035R,80000035,2021-04-01 16:59:09.491889
rid_36,resident_name_36,F000036K,90000036,2021-04-01 16:59:09.494354
rid_37,resident_name_37,F000037E,90000037,2021-04-01 16:59:09.496880
rid_38,resident_name_38,F000038G,80000038,2021-04-01 16:59:09.499217
rid_39,resident_name_39,S000039K,90000039,2021-04-01 16:59:09.501440
rid_40,resident_name_40,S000040D,90000040,2021-04-01 16:59:09.503663
rid_41,resident_name_41,F000041A,80000041,2021-04-01 16:59:09.505957
rid_42,resident_name_42,F000042S,80000042,2021-04-01 16:59:09.508176
rid_43,resident_name_43,F000043R,90000043,2021-04-01 16:59:09.510633
rid_44,resident_name_44,S000044H,80000044,2021-04-01 16:59:09.512934
rid_45,resident_name_45,S000045P,80000045,2021-04-01 16:59:09.515079
rid_46,resident_name_46,S000046I,80000046,2021-04-01 16:59:09.517166
rid_47,resident_name_47,F000047M,80000047,2021-04-01 16:59:09.519422
rid_48,resident_name_48,S000048P,80000048,2021-04-01 16:59:09.521759
rid_49,resident_name_49,F000049R,80000049,2021-04-01 16:59:09.523940
rid_50,resident_name_50,S000050K,80000050,2021-04-01 16:59:09.526087
rid_51,resident_name_51,S000051C,90000051,2021-04-01 16:59:09.528244
rid_52,resident_name_52,F000052O,80000052,2021-04-01 16:59:09.530374
rid_53,resident_name_53,S000053R,80000053,2021-04-01 16:59:09.532571
